Molecular Weight,LogP,Ring Count,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAromaticRings,TPSA,NHOHCount,NOCount,NumHAcceptors,NumHDonors,NumValenceElectrons,NumRotatableBonds,NumRadicalElectrons,activity
360.139782256,2.9094000000000007,3.0,0.0,1.0,2.0,68.18,2.0,6.0,5.0,2.0,136.0,6.0,0.0,1
249.078978592,3.4540000000000015,3.0,0.0,0.0,3.0,39.19,0.0,3.0,3.0,0.0,92.0,2.0,0.0,1
368.0896028519999,2.7677000000000005,5.0,0.0,3.0,2.0,72.45000000000002,0.0,7.0,7.0,0.0,138.0,3.0,0.0,1
307.19361442,4.417800000000004,4.0,0.0,2.0,2.0,12.47,0.0,2.0,2.0,0.0,120.0,4.0,0.0,1
308.16371125999996,3.8252000000000024,4.0,0.0,1.0,3.0,54.190000000000005,1.0,5.0,5.0,1.0,118.0,4.0,0.0,1
404.105544752,4.165420000000003,5.0,0.0,0.0,5.0,102.61,1.0,8.0,8.0,1.0,144.0,5.0,0.0,1
325.131408088,3.3306000000000013,4.0,0.0,2.0,2.0,56.790000000000006,1.0,5.0,4.0,1.0,124.0,3.0,0.0,1
338.13789043599996,2.5495,3.0,0.0,0.0,3.0,97.11,2.0,7.0,6.0,2.0,128.0,5.0,0.0,1
279.08079016,3.601580000000002,3.0,0.0,0.0,3.0,75.84,2.0,4.0,4.0,1.0,102.0,2.0,0.0,1
343.928881628,3.150500000000002,3.0,0.0,1.0,2.0,47.5,0.0,4.0,6.0,0.0,94.0,2.0,0.0,1
403.24710653600005,3.647000000000002,3.0,1.0,1.0,1.0,79.89999999999999,2.0,7.0,5.0,2.0,160.0,7.0,0.0,1
414.0950603200001,5.778200000000004,5.0,0.0,0.0,5.0,64.7,0.0,5.0,6.0,0.0,146.0,5.0,0.0,1
418.193965832,4.676400000000004,4.0,0.0,0.0,4.0,59.730000000000004,0.0,6.0,7.0,0.0,154.0,7.0,0.0,1
323.16337691200005,2.512600000000001,4.0,0.0,2.0,2.0,48.300000000000004,1.0,5.0,5.0,1.0,124.0,5.0,0.0,1
426.206718944,3.6616000000000017,3.0,0.0,0.0,3.0,77.67000000000002,2.0,7.0,4.0,2.0,164.0,8.0,0.0,1
424.283826392,4.030600000000002,4.0,1.0,1.0,2.0,68.44,2.0,6.0,3.0,2.0,168.0,7.0,0.0,1
